,features,importance
2,shar,0.48569707837411175
3,prob_o,0.47332958399649466
4,attr_o,0.4165284701795437
5,shar_o,0.3851998477453878
6,prob,0.37852991209395226
7,attr,0.3739130451021476
8,int_corr,0.3273511740209427
9,pf_o_amb,0.2937873672989275
10,fun,0.29274331472181525
11,amb_o,0.2829474473236712
12,fun_o,0.27408745085999503
13,fun_important,0.25752050889826017
14,amb,0.25407376432561585
15,pf_o_fun,0.24371228057449568
16,attr_important,0.20358414974425493
17,pf_o_att,0.19639098752327921
18,intel,0.18617643535659895
19,amb_important,0.18043851001140288
20,shopping,0.17634944673282701
21,tvsports,0.17089305096070698
23,pf_o_sha,0.15406668892177383
25,gaming,0.14020861568290627
26,pf_o_sin,0.1206813823098311
27,yoga,0.11676946388219962
28,imprelig,0.10363505455803762
29,intel_important,0.09641980815365371
